100;6325.892038667508;5951.179133270596;5653.413928633848
200;6038.446032621112;5764.567599328684;5552.127895855921
300;5942.1194377933425;5720.870125491255;5583.477725534126
400;5828.692307191151;5659.202554630973;5520.753793824724
500;5781.827711577922;5618.840243138218;5510.6116276392795
600;5747.263263149982;5603.554293536518;5493.8667930321735
700;5689.580462904103;5571.249200321011;5479.3260031779555
800;5707.617949860786;5593.751520920932;5492.278002570442
900;5673.975335920797;5553.3769272281215;5474.950279870059
1000;5664.8300585624875;5562.968452597602;5474.374948047689
