100;6301.929938132805;5905.729465595488;5626.049108200108
200;6031.480729194746;5771.107259176366;5586.02109425396
300;5879.079768350164;5675.1389354208895;5509.740086727143
400;5800.450494159359;5641.233169694061;5509.572087047495
500;5785.460575153478;5619.6992924942;5488.484176652286
600;5721.97567878764;5600.779655756652;5494.072950670129
700;5695.26495067137;5589.339693588149;5478.450937305146
800;5691.866464009329;5586.223140965367;5499.895201891583
900;5684.409353394159;5571.996466436304;5491.2851772341755
1000;5666.802292899017;5566.34538135989;5488.679531503311
