100;6136.8519341411475;5881.3882688221165;5630.650253223193
200;5779.743156668144;5620.400729836114;5466.1762218704225
300;5726.00804260401;5575.816353298107;5477.018918384182
400;5674.701827798278;5554.963050883055;5464.287321388069
500;5689.709040195454;5567.624792747725;5484.317782826993
600;5607.223991668758;5510.760811160345;5442.81625956636
700;5619.762521824518;5546.465525386928;5469.954678122953
800;5584.771188078494;5504.184004684239;5441.396612236562
900;5571.635274825659;5504.36441452317;5436.894411562229
1000;5555.1618095374815;5479.793968620761;5430.721291218137
